Size,Algorithm,SearchType,AverageTimeMs
1000,Array,Existing,0.000453084
1000,Array,Missing,0.0016507
1000,List,Existing,0.00516044
1000,List,Missing,0.0217593
1000,Binary,Existing,0.049007
1000,Binary,Missing,0.0446751
1000,AVLTree,Existing,0.000102766
1000,AVLTree,Missing,0.000105972
1000,HashTable,Existing,0.0003006
1000,HashTable,Missing,0.00016991
5000,Array,Existing,0.00212794
5000,Array,Missing,0.00811505
5000,List,Existing,0.0260163
5000,List,Missing,0.1069
5000,Binary,Existing,0.315065
5000,Binary,Missing,0.23366
5000,AVLTree,Existing,5.1244e-05
5000,AVLTree,Missing,4.5258e-05
5000,HashTable,Existing,0.000142553
5000,HashTable,Missing,8.10268e-05
10000,Array,Existing,0.00203863
10000,Array,Missing,0.00867779
10000,List,Existing,0.0257129
10000,List,Missing,0.103914
10000,Binary,Existing,0.316849
10000,Binary,Missing,0.306995
10000,AVLTree,Existing,5.23464e-05
10000,AVLTree,Missing,4.71208e-05
10000,HashTable,Existing,0.000142745
10000,HashTable,Missing,8.21862e-05
25000,Array,Existing,0.00485496
25000,Array,Missing,0.0186376
25000,List,Existing,0.0618346
25000,List,Missing,0.255919
25000,Binary,Existing,0.836585
25000,Binary,Missing,0.839751
25000,AVLTree,Existing,6.42373e-05
25000,AVLTree,Missing,5.18422e-05
25000,HashTable,Existing,0.000401544
25000,HashTable,Missing,0.000108481
50000,Array,Existing,0.00981025
50000,Array,Missing,0.0387388
50000,List,Existing,0.129158
50000,List,Missing,0.50952
50000,Binary,Existing,1.80365
50000,Binary,Missing,1.83615
50000,AVLTree,Existing,7.74217e-05
50000,AVLTree,Missing,5.55138e-05
50000,HashTable,Existing,0.000416144
50000,HashTable,Missing,0.000119307
