Size,SearchType,AVLTree,Array,Binary,HashTable,List
1000,Existing,0.000102766,0.000453084,0.049007,0.0003006,0.00516044
1000,Missing,0.000105972,0.0016507,0.0446751,0.00016991,0.0217593
5000,Existing,5.1244e-05,0.00212794,0.315065,0.000142553,0.0260163
5000,Missing,4.5258e-05,0.00811505,0.23366,8.10268e-05,0.1069
10000,Existing,5.23464e-05,0.00203863,0.316849,0.000142745,0.0257129
10000,Missing,4.71208e-05,0.00867779,0.306995,8.21862e-05,0.103914
25000,Existing,6.42373e-05,0.00485496,0.836585,0.000401544,0.0618346
25000,Missing,5.18422e-05,0.0186376,0.839751,0.000108481,0.255919
50000,Existing,7.74217e-05,0.00981025,1.80365,0.000416144,0.129158
50000,Missing,5.55138e-05,0.0387388,1.83615,0.000119307,0.50952
